age,churn,contract,country,customer_id,dependents,deviceprotection,discount_offered,gender,internetservice,last_activity,monthlycharges,multiplelines,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,product_category,purchase_amount,region,satisfaction_score,seniorcitizen,streamingmovies,streamingtv,support_tickets_raised,techsupport,tenure,totalcharges,transaction_date,transaction_id,user_name,industry
39,0,Month-to-month,,TEL_7590-VHVEG,No,No,,Female,DSL,,29.85,No phone service,Yes,No,Yes,Yes,Electronic check,No,,,,,0,No,No,,No,1,29.85,,,,Telecom
43,0,One year,,TEL_5575-GNVDE,No,Yes,,Male,DSL,,56.95,No,No,Yes,No,No,Mailed check,Yes,,,,,0,No,No,,No,34,1889.5,,,,Telecom
24,1,Month-to-month,,TEL_3668-QPYBK,No,No,,Male,DSL,,53.85,No,Yes,Yes,Yes,No,Mailed check,Yes,,,,,0,No,No,,No,2,108.15,,,,Telecom
23,0,One year,,TEL_7795-CFOCW,No,Yes,,Male,DSL,,42.3,No phone service,No,Yes,No,No,Bank transfer (automatic),No,,,,,0,No,No,,Yes,45,1840.75,,,,Telecom
21,1,Month-to-month,,TEL_9237-HQITU,No,No,,Female,Fiber optic,,70.7,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,2,151.65,,,,Telecom
27,1,Month-to-month,,TEL_9305-CDSKC,No,Yes,,Female,Fiber optic,,99.65,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,8,820.5,,,,Telecom
47,0,Month-to-month,,TEL_1452-KIOVK,Yes,No,,Male,Fiber optic,,89.1,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,,,,,0,No,Yes,,No,22,1949.4,,,,Telecom
49,0,Month-to-month,,TEL_6713-OKOMC,No,No,,Female,DSL,,29.75,No phone service,No,Yes,No,No,Mailed check,No,,,,,0,No,No,,No,10,301.9,,,,Telecom
55,1,Month-to-month,,TEL_7892-POOKP,No,Yes,,Female,Fiber optic,,104.8,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,28,3046.05,,,,Telecom
22,0,One year,,TEL_6388-TABGU,Yes,No,,Male,DSL,,56.15,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,,,,,0,No,No,,No,62,3487.95,,,,Telecom
42,0,Month-to-month,,TEL_9763-GRSKD,Yes,No,,Male,DSL,,49.95,No,No,Yes,Yes,Yes,Mailed check,Yes,,,,,0,No,No,,No,13,587.45,,,,Telecom
